date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:25	20/20	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Aug%202025%2015:37:47%20GMT	https://sgharem-17.com/robots.txt		(from )
08:37:26	318378/318378	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Aug%202025%2015:37:47%20GMT	https://sgharem-17.com/	C:/Users/admin/Downloads/sg79/sgharem-17.com/index.html	(from )
08:37:27	21585/21585	---M--	200	added ('OK')	image/png	etag:a153b0777ce7698177b11e12359b0bba	https://cdn.shortpixel.ai/client/q_loseless,ret_wait/https://miuohcetrjihx34xc.com/static/img/roundlogonew.png	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/q_loseless,ret_wait/https_/miuohcetrjihx34xc.com/static/img/roundlogonew.png	(from https://sgharem-17.com/)
08:37:27	9596/9596	---MCZ	200	added ('OK')	text/css	etag:d36138b225ce3f75322e0e519a7ec093	https://cdn.shortpixel.ai/client/ret_wait/https://miuohcetrjihx34xc.com/static/css/main.css	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/ret_wait/https_/miuohcetrjihx34xc.com/static/css/main.css	(from https://sgharem-17.com/)
08:37:28	28002/28002	---MCZ	200	added ('OK')	text/css	etag:79aef76939ba9c32b3446125d49342a7	https://cdn.shortpixel.ai/client/ret_wait/https://miuohcetrjihx34xc.com/static/css/index_new_style.css	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/ret_wait/https_/miuohcetrjihx34xc.com/static/css/index_new_style.css	(from https://sgharem-17.com/)
08:37:29	88192/88192	---MCZ	200	added ('OK')	application/javascript	etag:496188fcea99e6d554e885cc99da301c	https://cdn.shortpixel.ai/client/ret_wait/https://miuohcetrjihx34xc.com/static/js/jquery.js	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/ret_wait/https_/miuohcetrjihx34xc.com/static/js/jquery.js	(from https://sgharem-17.com/)
08:37:29	43001/43001	---MCZ	200	added ('OK')	application/javascript	etag:4d8ad82a6ee88932a3c7372a27783168	https://cdn.shortpixel.ai/client/ret_wait/https://miuohcetrjihx34xc.com/static/js/slick.js	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/ret_wait/https_/miuohcetrjihx34xc.com/static/js/slick.js	(from https://sgharem-17.com/)
08:37:30	42713/42713	---MCZ	200	added ('OK')	application/javascript	etag:9f62b825ba3d7ad0ffbed0a68d81b52f	https://cdn.shortpixel.ai/client/ret_wait/https://miuohcetrjihx34xc.com/static/js/slick-min.js	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/ret_wait/https_/miuohcetrjihx34xc.com/static/js/slick-min.js	(from https://sgharem-17.com/)
08:37:30	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/admin/Downloads/sg79/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://sgharem-17.com/)
08:37:31	5320/5320	---M--	200	added ('OK')	image/png	etag:98766a5531c87af7171e410694a7d9e2	https://cdn.shortpixel.ai/client/q_loseless,ret_wait/https://miuohcetrjihx34xc.com/static/img/nobgnew1.png	C:/Users/admin/Downloads/sg79/cdn.shortpixel.ai/client/q_loseless,ret_wait/https_/miuohcetrjihx34xc.com/static/img/nobgnew1.png	(from https://sgharem-17.com/)
